Name,Price
Unstoppable Moses by Tyler James Smith,$4
The Complete Original Illustrated Sherlock Holmes Arthur Conan Doyle,$8
The Short Reign of Pippin IV by John Steinbeck,$2
So Wonderful As Want by Joyce DeBacco,$4
Prime Number by Harry Harrison,$2
Selected Short Stories of Nathaniel Hawthorne by Nathaniel Hawthorne,$2
Facts and Fun About the Presidents by George Sullivan Paperback,$2
Collectibles  Cookbooks  Vintage SUGARPLUMS Cookbook,$5
Butter Busters Cookbook,$5
Fail-Safe by Eugene Burdick and Harvey Wheeler,$2
Scott's Catalogue of United States Stamps Specialized 1949 27th Ed,$8
