,reviews
44,"The chicken thali and the mutton thali are very good.  They have very authentic taste.  For a change tried the pork chilly.  It was deep fried pork in chilly garlic sauce which tastes horrible.  The jhol momo was mediocre.  
The service is PATHETIC.  The server has no idea what is she doing, she didn't even have common sense  to bring two appetizer plates in the table when two people were trying to share pork chilly!  When asked for plates she rolled her eyes. The restaurant wasn't even busy besides us there were two more table of two!"
45,"Great Customer service. The food over there was not that good as expected but it's a great place to have Nepali food for that price. The best thing about it, you can eat authentic Nepali food after midnight too if you're inDallas."
46,"fellow yelpers please don't come here!! i desperately want to give this place a  negative star let me list why;
the restaurant was almost 100 degrees hot and they didn't care to do anything about it.
service was awful. everyone that worked had a terrible attitude
gave our food in paper plates (yup, paper plates)
disgusting food!!! the meat items were old. the chicken in all the dishes i had tasted funky and rubbery. their goat dishes almost made me puke because i took a bite and it tasted like nasty meat that had been sitting out for days.
i warn everyone to avoid this place at all cost. there are so many better nepali places to eat in irving. drive 5-6 mins further and try ramailo instead."
47,"We tried this place with our Nepali friend that wanted us to try a different place than Everest - that we love so much! It's was just down the street, so why not. We went for Saturday lunch - We ordered Mo:Mo's as an appetizer - the fried mo:mo:'s were supposed to come with spicy dipping sauce but they gave us ketchup because the sauce ""was not ready"". Really?
The other fried mo:mo:'s in spicy red sauce were very good, the ones with white sauce were okay.
I ordered Veg Thali and it was just okay. I didn't enjoy it as much as I thought I would. It was just kind of plain. The Paneer Tikka Masala was very good though. A friend ordered chicken Tikka Masala and liked it.

Overall, I didn't like this place as much as other Nepali/Indian places, but still would like to give them 3 stars. The waitress didn't care about us much, had to be called several times. She even didn't ask us if we want to drink anything, so we just had water. Our Nepali friend had to talk to her in Nepali, because she seemed not to be comfortable to speak English."
48,First of all food was awesome and price is very less but maintenance is not good and the worst serving I have seen in any restaurant. Please don't go for dine better to take take away
49,"I went there hoping for a nice, quiet break from the office for lunch. The atmosphere felt like a disco club with the music videos that were playing on television. The restaurant didn't look well kept. The menu is very limited and there are no fresh green salads on it. What I ordered (vegetable soup, steamed dumplings and masala dish) was just ok and nothing to rave about it. I should have just turned around and left, but I didn't have time to go anywhere else. I would like to give this place more stars, but I can't in good conscious."
50,"The food here tastes okay. The reason I'm giving it two stars is because of the service. I've been here several times within the last few weeks and the waitresses we had were some of the worst I've ever encountered. They are inattentive to the customers, play on their phones the whole time, slightly rude, and are overall incompetent. I can understand if the restaurant is busy, but there were literally no more than 4 other people when we were there. It is impossible to get the attention of these waitresses. I was without water for my entire meal and they ignored me when I made eye contact and waved down one of them. Please please get better customer service skills and maybe I'll come back. It's a shame."
51,"You know when you go to yelp to read reviews of a traditional foreign restaurant by an authentic foreigner? Well this is it. My experience has never been this horrible in any food place to ""force"" me to write a review. This is what my mom calls to throw in a garbage can type of food, a black stamp in the authentic Nepalese food culture. Everyone has their go to food and well let me tell you and advice you to not base your opinions on delicious Nepalese delicacies based on any food places in the Dallas area.
Himalayan Aroma: Don't know where to start, but let's start with my order and a bit introduction to our kind of food. First I ordered dumpling also called Mo:mo is the first thing you order in a Nepalese or Tibetan restaurant. Doesn't matter if you've had it before but the magic in our dumplings are the dough and the sauce, the delicious tomato sauce. The sauce you can get in two consistencies, thin and thick. Usually thick are served in restaurants because then you can dump these small dumplings in them and take a bite. A thin consistency sauce is spread over the dumplings. The way to eat is cut open the hot dumplings with the spoon and pour in the cold sauce and savor it which is usually messy and hence they aren't served in middle to high end places but just fast food chains.  Well, the place here served thin consistency sauce in a small bowl, the plating which is mix of both and not good. Then let's carry on with the dumplings. The first reaction when I had a bite of that dumpling was that I paid for that shit. It was made on walmart dough so thin that you could taste the preservatives and I know this because I have tried making with those and always hated it. Fresh dough is the way to go and this was not the case in a place where they represent authentic Nepalese food.
Next I ordered a mutton taas. The reason is that mutton is our festive go to meat like beef is yours. We pray cows hence mutton is our go to thick flavorful meat. Mutton taas where taas means playing cards is a snack prepared to eat while playing cards during festivals. The snack should be light but flavorful, chewy and refreshing. It should normally have beaten rice or ""chiura"" as we call it which is very tasty snack to aid meat. It goes great with BBQ too. There is obviously mutton which is BBQ'd with salt, pepper and lemon to taste. It also contains fried soy-beans with some fresh onions and flavored with salt and lastly the refreshing cucumber pickle made with some cucumber, curd, pepper and salt. This is what I had my tastebuds ready for and what I got was some burnt meat, some soy-beans poorly fried and some cheap ass puffed rice and lots and lots of soy oil and they charged me 12 bucks for it which is literally stealing. This is why I am upset. This is why I am going so full on with this review because the food was basically insulting. If you're going to call yourself a Nepali restaurant then you can never screw up with at the very least those two recipes. To add to that my friend also ordered a chicken thaali which was decent home quality, not finger-licking enough for you authentic foreigner to visit this place.
You're not offending any one of us if you didn't like the food here because this is the McD representation of the food that we eat but severely overpriced. All you're gonna go is: Daf*q did I pay for?"
52,"A terrible experience. I ordered jhol-momo (chicken soup dumplings) to go and had called ahead 30 minutes. The lady on the phone had told me only 10 minutes and food will be ready. I went there 15 minutes later... Still no food! Waited 30 minutes before I could get it.. I was furious and almost wanted to leave. THe decor inside the place is horrible... Don't ever go there to dine.. It's chaotic dirty and like a shack. I had high hopes on food... The sauce was good but the momos were disgusting.big mistake to give them a chance. The only server waiting never said a word to me.. Kept looking at me and when I asked about the food she said yes it's coming.. Sure enough only 10 + minutes later it was thete.. And in between the server made her tea, drank and never bothered to offer me anything. Poor service, terrible food!"
53,"GARBAGE!!!!  NASTY. GROSS. SCARY. SCUMMY. How does the city of Irving allow such a place to serve food to human beings?!?!?! The furniture is tattered, every inch of the floor was sticky, and the place smelled - I was afraid I had stepped into a real life horror movie to be honest. I ordered a chicken dish and I've never had chicken served like that - all the bones in the meat were broken!!! Somebody needs to report this place."
54,"The only dish they had was chicken curry and thats what I ordered. I was the only customer. There were three Nepali students chilling out in one corner of the room. The order was slow and when the food came, it had a peculiar smell of either lard or old frozen meat. I did not eat the dish, instead paid the bill, with tip and left. The girl at the front counter was apologetic and wanted to pack up the dish as takeout. But I did not have the feel for this food and the restaurant. My health was prime to me and instincts guareded my decision not to eat. I do not recommend this place to anyone. The food is not safe!!"
55,"Nepalese cooking, similar to Indian and Bangladesh. Have their own specialties. Good if you want something different. Very pleasant service."
56,"Where's the Dahli Lama when you need him?
The experience: in order.
Dingy place. Tables wiped but smeary. Friday night, i'm the only customer in the place. Menu is greasy.  Menu has no description aside from postage stamp size pictures.  The waitress is almost no help.  Very little English. The best she can tell me is that some dishes are dry, others have a sauce.

I was going to go adventurous, but it seems ill advised at this point.  

I order lamb curry.  Only its not lamb. It's mutton that they ran to the market. Tough, over cooked, dried out, then put into a curry sauce.  Sauce was good, hence the 1 star.  Enough rice to feed 4.  They are out of mango lassi.  Who doesnt have yoghurt and mango pulp i ask you!  No refill on the drinks was forthcoming.  Pushed plate back when finished.  Fooled around with phone for 5 min. No check.  I go to register to check out.  Won't be back.

oh yeah. The TV is on. A cross of bollywood meets autotuner meets electrotrance music.  The worst of 2 worlds."
